date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-25,80+,f,32638,5503,0
2021-01-25,80+,m,22835,4923,1
2021-01-25,NA,d,0,0,0
2021-01-25,NA,f,32,2,0
2021-01-25,NA,m,15,1,0
2021-01-26,0-9,d,0,0,0
2021-01-26,0-9,f,13,1,0
2021-01-26,0-9,m,4,2,0
2021-01-26,10-19,d,1,0,0
2021-01-26,10-19,f,662,57,2
2021-01-26,10-19,m,300,25,0
2021-01-26,20-29,d,1,0,0
2021-01-26,20-29,f,5401,706,1
2021-01-26,20-29,m,2745,350,3
2021-01-26,30-39,d,4,0,0
2021-01-26,30-39,f,7966,1235,3
2021-01-26,30-39,m,5263,811,8
2021-01-26,40-49,d,8,0,0
2021-01-26,40-49,f,10285,1313,8
2021-01-26,40-49,m,7102,910,10
2021-01-26,50-59,d,9,0,0
2021-01-26,50-59,f,15381,1824,6
2021-01-26,50-59,m,12312,1335,15
2021-01-26,60-69,d,13,1,0
2021-01-26,60-69,f,17226,1594,19
2021-01-26,60-69,m,15433,1643,32
2021-01-26,70-79,d,25,0,0
2021-01-26,70-79,f,25716,3451,22
2021-01-26,70-79,m,22845,3662,50
